"id","user_role_id","permission_id","created_at","updated_at","user_details_id"
648,2,28,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
649,2,29,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
650,2,30,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
651,2,31,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
652,2,32,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
653,2,33,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
654,2,34,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
655,2,35,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
656,2,36,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
657,2,37,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
658,2,38,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
659,2,39,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
660,2,40,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
661,2,41,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
662,2,42,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
663,2,43,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
664,2,44,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
665,2,45,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
666,2,46,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
667,2,58,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
668,2,49,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
669,2,50,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
670,2,56,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
671,2,52,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
672,2,53,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
673,2,54,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
674,2,55,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
675,2,59,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
676,2,60,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
677,2,61,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
678,2,62,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
679,2,63,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
680,2,64,"2025-10-24 20:34:24.78916","2025-10-24 20:34:24.78916",NULL
681,2,55,"2025-10-24 20:35:06.11768","2025-10-24 20:35:06.11768",2
725,4,47,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
726,4,48,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
727,4,51,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
728,4,57,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
729,4,23,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
730,4,24,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
731,4,25,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
732,4,26,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
733,4,27,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
734,4,28,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
735,4,29,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
736,4,30,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
737,4,31,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
738,4,32,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
739,4,33,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
740,4,34,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
741,4,35,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
742,4,36,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
743,4,37,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
744,4,38,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
745,4,39,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
746,4,40,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
747,4,41,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
748,4,42,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
749,4,43,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
750,4,44,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
751,4,45,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
752,4,46,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
753,4,58,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
754,4,49,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
755,4,50,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
756,4,56,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
757,4,52,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
758,4,53,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
759,4,54,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
760,4,55,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
761,4,59,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
762,4,60,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
763,4,61,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
764,4,62,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
765,4,63,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
766,4,64,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
767,4,65,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
768,4,66,"2025-10-27 20:38:34.482293","2025-10-27 20:38:34.482293",NULL
769,2,66,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
770,2,65,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
771,2,64,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
772,2,63,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
773,2,62,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
774,2,61,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
775,2,60,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
776,2,59,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
777,2,58,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
778,2,57,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
779,2,56,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
780,2,54,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
781,2,53,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
782,2,52,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
783,2,51,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
784,2,50,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
785,2,49,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
786,2,48,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
787,2,47,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
788,2,46,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
789,2,45,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
790,2,44,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
791,2,43,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
792,2,42,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
793,2,41,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
794,2,40,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
795,2,39,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
796,2,38,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
797,2,37,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
798,2,36,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
799,2,35,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
800,2,34,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
801,2,33,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
802,2,32,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
803,2,31,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
804,2,30,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
805,2,29,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
806,2,28,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
807,2,27,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
808,2,26,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
809,2,25,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
810,2,24,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
811,2,23,"2025-10-27 21:12:06.672716","2025-10-27 21:12:06.672716",2
